customer_id,gender,age,country,signup_date,plan_type,contract_type,monthly_fee,payment_method,login_frequency_per_week,avg_session_minutes,features_used_count,last_login_days_ago,support_tickets,avg_response_time_hours,churn
aec40fea-71fa-4606-a202-c4c7942aa51e,Other,25,Pakistan,1/31/2023,Basic,Monthly,8.49,Card,10,95,18,5,9,20.8,1
e48046ae-ccba-4836-97ca-6f65688863bd,Male,32,UAE,4/18/2020,Premium,Monthly,130.41,PayPal,3,58,19,17,0,36.7,1
413bc3b5-ec0a-4425-84ac-528a8d999411,Female,39,USA,9/28/2021,Basic,Yearly,7.56,PayPal,1,46,12,38,4,38.9,1
d7e5adb8-9066-44da-9984-ba66cc75b485,Other,25,UK,11/18/2020,Premium,Yearly,138.23,JazzCash,9,25,3,2,10,11.7,0
5f668e08-dc1c-498d-a5b5-70fb6592ffe5,Male,32,Canada,2/17/2021,Standard,Yearly,53.22,JazzCash,2,48,12,13,10,13.5,0
6fa6b78e-4b90-43f0-af5d-c41716adc781,Other,22,UAE,12/1/2021,Premium,Monthly,92.27,PayPal,4,119,18,14,10,16.2,0
beaffc82-086f-45e9-a820-3f557476e7b9,Male,32,Canada,5/11/2020,Standard,Yearly,44.12,Easypaisa,14,73,11,13,10,24.5,0
d6da4d5c-840b-434c-a76c-f1ced8adf321,Other,47,India,12/20/2022,Basic,Monthly,23.62,JazzCash,11,75,14,57,9,19.8,1
103274d5-375f-4c6c-bde8-e40b8e6b903b,Male,50,UK,1/7/2021,Basic,Monthly,8.82,Easypaisa,12,88,14,38,1,19.1,1
c163e5ec-121d-4069-82a5-08e02800cde1,Female,51,USA,2/17/2020,Premium,Monthly,128.04,JazzCash,12,83,11,7,4,21.4,0
4a4ed27c-17d2-477e-9806-9c1c62fba80c,Other,64,USA,8/12/2025,Basic,Monthly,26.76,JazzCash,13,82,17,38,3,8.2,0
5ee2d32f-7a6c-4f29-add2-a6e8dbc0b803,Other,67,UAE,1/3/2020,Premium,Yearly,114.71,Card,14,47,10,15,0,12.3,0
64577407-6d27-40c9-a8a1-6ad570001070,Male,23,Germany,6/13/2025,Basic,Monthly,8.21,PayPal,8,22,9,33,9,20.9,1
d8c7cfc1-6832-48b5-b5e4-66d5325f12bf,Other,66,Germany,4/3/2022,Premium,Yearly,108.53,JazzCash,7,116,17,28,1,12.7,0
